Trace
Swept SA
A.07.06,N9010A
2768000000,-27.5608014519528
2772000000,-27.479967857332
2776000000,-27.3409464191857
2780000000,-27.4510916132682
2784000000,-27.4437723519597
2788000000,-27.4167525731771
2792000000,-27.4867444138771
2796000000,-27.509805762592
2800000000,-27.5077381221711
2804000000,-27.5056704817502
2808000000,-27.6094336989464
2812000000,-27.5368121534474
2816000000,-27.5700214655655
2820000000,-27.6238089999981
2824000000,-27.5217899940499
2828000000,-27.5415969736074
2832000000,-27.614086201439
2836000000,-27.6094070955914
2840000000,-27.5812100213844
2844000000,-27.5530129471774
2848000000,-27.5615733674852
2852000000,-27.4882150070354
2856000000,-27.5489817656668
2860000000,-27.5944360232838
2864000000,-27.4789391849413
2868000000,-27.545706601384
2872000000,-27.5742573192427
2876000000,-27.46463997299
2880000000,-27.5461061196573
2884000000,-27.5658375993812
2888000000,-27.5003164438024
2892000000,-27.5033694828788
2896000000,-27.5139969861782
2900000000,-27.6164915533814
2904000000,-27.6160950090124
2908000000,-27.6225923783234
2912000000,-27.6016797538363
2916000000,-27.682188367899
2920000000,-27.6803840927039
2924000000,-27.7770613100136
2928000000,-27.7620281776164
2932000000,-27.6690917750287
2936000000,-27.7496003890914
2940000000,-27.7463262408738
2944000000,-27.7046510838002
2948000000,-27.6891249209599
2952000000,-27.6361169960468
2956000000,-27.6404341190097
2960000000,-27.6807631310229
2964000000,-27.7236140614388
2968000000,-27.7104705411206
2972000000,-27.7208449891617
2976000000,-27.7370989292927
2980000000,-27.70337718666
2984000000,-27.6108605231289
2988000000,-27.8158888106728
2992000000,-27.771499976345
2996000000,-27.7344605071296
3000000000,-27.7179992602286
3004000000,-27.7000681403051
3008000000,-27.6593539885335
3012000000,-27.7038924720646
3016000000,-27.7402394760124
3020000000,-27.7752937794942
3024000000,-27.7633121462573
3028000000,-27.7572100051102
3032000000,-27.8334207532209
3036000000,-27.8322538051476
3040000000,-27.9119298733097
3044000000,-27.8350644645797
3048000000,-27.7405605795801
3052000000,-27.8719125477365
3056000000,-27.8183213312815
3060000000,-27.8205852896801
3064000000,-27.8316684862134
3068000000,-27.7428003172194
3072000000,-27.8332566569656
3076000000,-27.8120026470048
3080000000,-27.8516584991428
3084000000,-27.8355765928947
3088000000,-27.845952401051
3092000000,-27.9621590668244
3096000000,-27.8551474599844
3100000000,-27.7924614608588
3104000000,-28.006111589956
3108000000,-27.8317152411234
3112000000,-27.7161138131892
3116000000,-27.9591614027356
3120000000,-28.0353784042326
3124000000,-27.9386316426241
3128000000,-27.9190512060496
3132000000,-27.9112297536547
3136000000,-27.919576904507
3140000000,-27.9529453202766
3144000000,-28.1000396223426
3148000000,-28.1091534457073
3152000000,-28.080475582494
3156000000,-28.2193632438411
3160000000,-28.1642276662235
3164000000,-28.1443690411449
3168000000,-28.1627529429352
3172000000,-28.0861803726901
3176000000,-27.9890295801306
3180000000,-27.9918301530984
3184000000,-27.8983674113151
3188000000,-27.9593571597317
3192000000,-28.0703225909119
3196000000,-27.9314096082738
3200000000,-27.8277735781748
3204000000,-27.9064018028609
3208000000,-27.9820902815021
3212000000,-28.0136825694695
3216000000,-27.9776606984037
3220000000,-28.018064913301
3224000000,-28.0219942849185
3228000000,-28.0346831215141
3232000000,-28.0615666924843
3236000000,-28.0568479934715
3240000000,-28.0954905486214
3244000000,-28.1164946275017
3248000000,-28.1381722484369
3252000000,-28.1443957378175
3256000000,-28.2005949099617
3260000000,-28.2420953518813
3264000000,-28.1748251901388
3268000000,-28.1928076636991
3272000000,-28.2343081056187
3276000000,-28.2258328647746
3280000000,-28.1445989093188
3284000000,-28.2673400680355
3288000000,-28.2131233328419
3292000000,-28.1794848199627
3296000000,-28.2281591963413
3300000000,-28.1457886814694
