FREQUENCY (MHz),Gain (dBi),,diameter (m)
700,-2.794230883,,0.2413
750,1.827433584,,
800,5.506008056,,
850,6.267586831,,
900,6.137058505,,
950,5.401680422,,
1000,5.783208316,,
1250,5.469408576,,
1500,7.096033497,,
1750,5.83396929,,
2000,7.48880823,,
2250,8.195858679,,
2500,7.15200849,,
3000,3.788633411,,
3500,1.637569203,,
4000,0.830408143,,
4500,1.949458592,,
5000,-2.129391597,,
5500,-2.510537894,,
6000,6.609233324,,
