Trace
Swept SA
A.07.06,N9010A
2768000000,-19.94979894165
2772000000,-19.9770010141801
2776000000,-19.958059842927
2780000000,-19.9606186908073
2784000000,-19.9562391755437
2788000000,-19.9556771111654
2792000000,-19.9745090116418
2796000000,-19.9590680462101
2800000000,-19.9996267234406
2804000000,-19.9799206067502
2808000000,-19.9396362677452
2812000000,-19.987544310088
2816000000,-19.9737176854874
2820000000,-19.9246141083477
2824000000,-19.8857996423653
2828000000,-19.971301586985
2832000000,-19.9237105479234
2836000000,-19.9278506802105
2840000000,-19.9749027457117
2844000000,-19.9772873894138
2848000000,-19.9564503492723
2852000000,-19.9859831003947
2856000000,-19.9578225411673
2860000000,-19.9261084651051
2864000000,-19.8855751509081
2868000000,-19.8817886622726
2872000000,-19.9037249515303
2876000000,-19.93889009799
2880000000,-19.8704291963663
2884000000,-19.8842811840004
2888000000,-19.9628075846227
2892000000,-19.8798730518851
2896000000,-19.9176932061001
2900000000,-19.998425293529
2904000000,-19.9609963080358
2908000000,-19.9454455820099
2912000000,-20.0394686688374
2916000000,-20.0123909366978
2920000000,-19.9753097089636
2924000000,-19.9617464495888
2928000000,-19.9922793808879
2932000000,-19.943439168974
2936000000,-19.9313457826216
2940000000,-19.9621643294833
2944000000,-19.9202035568471
2948000000,-19.8870389177372
2952000000,-19.9214884376606
2956000000,-19.9030225287753
2960000000,-19.9257130645189
2964000000,-19.935042530981
2968000000,-19.8760473314038
2972000000,-19.845265334816
2976000000,-19.8720940016669
2980000000,-19.8483757546288
2984000000,-19.8969669012539
2988000000,-19.9067876923731
2992000000,-19.8768119727073
2996000000,-19.9088565355475
3000000000,-19.9228133011696
3004000000,-19.8568256924536
3008000000,-19.8837256997151
3012000000,-19.9153209416068
3016000000,-19.8881777900261
3020000000,-19.920292347463
3024000000,-19.9806201078893
3028000000,-19.937485525618
3032000000,-19.9490218607405
3036000000,-19.9944415284373
3040000000,-19.9334591073917
3044000000,-19.9389065879195
3048000000,-19.9578685412121
3052000000,-19.8922575243587
3056000000,-19.8633685337229
3060000000,-19.8332952856274
3064000000,-19.8843506693298
3068000000,-19.8437026945143
3072000000,-19.8283281766433
3076000000,-19.8793835603457
3080000000,-19.8232120504611
3084000000,-19.8321179855949
3088000000,-19.8704213811779
3092000000,-19.8690382051545
3096000000,-19.8649177098867
3100000000,-19.808111202851
3104000000,-19.7718829181298
3108000000,-19.8032687924417
3112000000,-19.8111366983943
3116000000,-19.8072456201672
3120000000,-19.8797879391081
3124000000,-19.8308120507296
3128000000,-19.8612072969187
3132000000,-19.9386384798266
3136000000,-19.9737289606458
3140000000,-19.9362578557747
3144000000,-20.0010392685828
3148000000,-20.0601287747112
3152000000,-20.063788117992
3156000000,-20.096844921722
3160000000,-20.1034440110477
3164000000,-20.1100431003734
3168000000,-20.0637525891754
3172000000,-20.0195172254245
3176000000,-19.9829168423485
3180000000,-19.9339862439675
3184000000,-19.7993670575553
3188000000,-19.7662849325344
3192000000,-19.796692963042
3196000000,-19.7765540796606
3200000000,-19.6905565258311
3204000000,-19.7327235405183
3208000000,-19.744921863631
3212000000,-19.7405022625481
3216000000,-19.8186811662857
3220000000,-19.8426311623732
3224000000,-19.8355364863224
3228000000,-19.8629240531425
3232000000,-19.8486511794838
3236000000,-19.8843539885887
3240000000,-19.8994785753792
3244000000,-19.9351813844842
3248000000,-19.968617989599
3252000000,-19.9513235106202
3256000000,-19.9475435044062
3260000000,-19.9961076958755
3264000000,-19.9949818201437
3268000000,-19.9850367062772
3272000000,-19.9883204496128
3276000000,-19.9739657166789
3280000000,-19.9155147930712
3284000000,-19.9596177450863
3288000000,-19.9259792322071
3292000000,-19.9305574179119
3296000000,-19.9027983971226
3300000000,-19.8557048347897
3304000000,-19.9306348875026
3308000000,-19.9629386225641
3312000000,-19.9482064209068
3316000000,-19.8761491713735
3320000000,-19.9638587603399
3324000000,-19.9116447966099
3328000000,-19.8782535666092
3332000000,-19.9248067109468
3336000000,-19.8972949730359
3340000000,-19.8862374539348
3344000000,-19.9257781905551
3348000000,-19.8930999506088
3352000000,-19.9099480724776
3356000000,-19.9741177466279
3360000000,-19.9708369671308
3364000000,-19.988465201245
3368000000,-20.0175344851337
3372000000,-19.9605901956688
3376000000,-19.9699227649464
3380000000,-20.0071829216508
